Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary,source
7813,3275331,washingtonsblog.com,bias,http://www.washingtonsblog.com/2013/08/there-is-500-percent-less-support-for-a-war-in-syria-than-there-was-for-the-iraq-war.html,"National Security Notice

We are NOT calling for the overthrow of the government. In fact, we are calling for the reinstatement of our government.

We are not calling for lawlessness. We are calling for an end to lawlessness and lack of accountability and a return to the rule of law.

Rather than trying to subvert the constitution, we are calling for its enforcement.

We are patriotic Americans born and raised in this country. We love the U.S. We don't seek to destroy or attack America ... we seek to restore her to strength, prosperity, liberty and respect.

We don't support or like Al Qaeda, ISIS, the Taliban, or any similar or supporting groups. We think they are all disgusting.

The nation's top legal scholars say that draconian security laws which violate the Constitution should not apply to Americans.

Should you attempt to shut down this site or harass its authors, you are anti-liberty, anti-justice, anti-American ... and undermining America's national security.

Copyright Notice

This site provides political commentary, education and parody protected by the fair use and My Lai/Zapruder exceptions to copyright law.

We are not copyright pirates. We do not seek to destroy all copyright law.

Even the country's top copyright lawyers oppose draconian anti-piracy laws.

FAIR USE NOTICE: This site contains copyrighted material the use of which has not always been specifically authorized by the copyright owner. We are making such material available in our efforts to advance understanding of political, economic, scientific, and educational issues. We believe this constitutes a 'fair use' of any such copyrighted material as provided for in section 107 of the US Copyright Law. In accordance with Title 17 U.S.C. Section 107, the material on this site is distributed without profit to those who have expressed a prior interest in receiving the included information for research and educational purposes. For more information go to:

http://www.law.cornell.edu/uscode/17/107.shtml.

If you wish to use copyrighted material from this site for purposes of your own that go beyond 'fair use', you must obtain permission from the copyright owner.",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,There Was 500 Percent More Support for the Iraq War than a Syrian War,"Posted On, Black Swan, حاتم حماد, Red Robbo, Shawn Mary Reid",,[''],,,,
7814,3275332,trueeconomics.blogspot.com,unknown,http://trueeconomics.blogspot.com/2012/01/212012-sunday-times-january-1-2012.html,"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.” Gabriel Garcí­a Márquez





Nassim Nicholas Taleb was asked whether public protests in Athens is a Black Swan Event. He replied: “No. The real Black Swan Event is that people are not rioting against the banks in London and New York.”



",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,True Economics: 2/1/2012: Sunday Times January 1,"Constantin Gurdgiev, View My Complete Profile",,[''],,"Exclusive Irish Economy, 2012 forecast, Irish economy in 2012, Euro area economy, Irish economic growth, Euro area economic growth, Euro area economic activity",,
7815,3275333,trueeconomics.blogspot.com,unknown,http://trueeconomics.blogspot.com/2012/01/312012-are-we-really-still-filthy-rich.html,"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.” Gabriel Garcí­a Márquez





Nassim Nicholas Taleb was asked whether public protests in Athens is a Black Swan Event. He replied: “No. The real Black Swan Event is that people are not rioting against the banks in London and New York.”



",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,2012: Are we really still 'filthy rich'?,"Constantin Gurdgiev, View My Complete Profile",,[''],,"Ireland GDP per capita, Crisis in Ireland, Ireland Consumption per capita, Depression in Ireland, Recession in Ireland, Irish economic crisis, Income in Ireland",,
7816,3275334,trueeconomics.blogspot.com,unknown,http://trueeconomics.blogspot.com/2012/01/312012-government-debt-maturity-v.html,"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.” Gabriel Garcí­a Márquez





Nassim Nicholas Taleb was asked whether public protests in Athens is a Black Swan Event. He replied: “No. The real Black Swan Event is that people are not rioting against the banks in London and New York.”



",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,True Economics: 3/1/2012: Government debt,"Constantin Gurdgiev, View My Complete Profile",,[''],,"Government debt crisis, G7 public debt, Government debt G7, Government debt BRIC",,
7817,3275335,trueeconomics.blogspot.com,unknown,http://trueeconomics.blogspot.com/2012/01/412012-eu-commission-new-logo.html,"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.” Gabriel Garcí­a Márquez





Nassim Nicholas Taleb was asked whether public protests in Athens is a Black Swan Event. He replied: “No. The real Black Swan Event is that people are not rioting against the banks in London and New York.”



",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,2012: EU Commission new logo,"Constantin Gurdgiev, View My Complete Profile",,[''],,EU Commission and crisis,,
7818,3275336,washingtonsblog.com,bias,http://www.washingtonsblog.com/2013/08/bombing-syria-will-only-strengthen-the-hardliners.html,"From the Shooting-Ourselves-In-the-Foot Department

The Wall Street Journal notes:

A U.S. attack on Syria would likely dash expectations of progress in nuclear negotiations with Iran and undermine new Iranian President Hasan Rouhani’s call for improving relations with the West, diplomats said. An attack on Damascus would likely give Iranian hard-liners, who oppose a nuclear compromise, the upper hand over moderate President Hasan Rouhani, who has made foreign policy and nuclear talks a priority. *** “A direct U.S.-Iran conflict in Syria will only widen the chasm of mistrust needed to be bridged in order to reach a nuclear accommodation,” said Karim Sadjadpour, an Iran expert with Carnegie Endowment for International Peace.

Salon agrees:

Obama would be bombing Iran’s main ally, strengthening the hand of hardliners in Tehran and undermining Rouhani’s room for maneuver. *** Officials cautious of intervening say targeted strikes to punish Mr. Assad for using chemical weapons risk triggering a bloody escalation. If the regime digs in and uses chemical weapons again, or launches retaliatory attacks against the U.S. and its allies in the region, Mr. Obama will come under fierce pressure to respond more forcefully, increasing the chances of full-scale war, the officials say.

And, of course, Russia—which has declared that it won’t support an American action against Syria—could up the ante, too, by backing Assad more powerfully in response.



As we’ve previously noted, attacking Iran would only speed up its development of nuclear weapons, empower its hardliners, and undermine the chance for democratic reform. The same is true for Syria and any chemical weapons which the nation possesses.

Indeed, the key architect of America’s war plan against Syria says:

If we start picking off chemical weapons targets in Syria, the logical response is if any weapons are left in the warehouses, he’s going to start dispersing them among his forces ….

If they’re dispersed away from central government warehouses to scattered military forces, they are more likely to be used.

Finally, bombing the Syrian government will strengthen the Al Qaeda, Hamas and Muslim Brotherhood dominated rebels.

Not very smart …",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,Bombing Syria Will Only STRENGTHEN the Hardliners,"Posted On, Black Swan, حاتم حماد, Don Robertson, Pragmatic Jim",,[''],,,,
7819,3275337,rinf.com,political,http://rinf.com/alt-news/multimedia/video-20-top-eu-banks-routed-e25bn-through-tax-havens-oxfam/,"A report by Oxfam suggests Europe’s largest banks have registered over a quarter of their profits in offshore tax havens last year. The continent’s top 20 lenders …



Via Youtube",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,Video: 20 top EU banks routed €25bn through tax havens – Oxfam,,,[''],A report by Oxfam suggests Europe's largest banks have registered over a quarter of their profits in offshore tax havens last year. The continent's top 20,"Oxfam, Europe’s largest banks, lenders, *, RT, tax avoidance, top 20 len..., offshore tax havens, European Unioun, Oxfam report, EU banks, tax havens, Russia Today",,
7820,3275338,dailykos.com,political,https://www.dailykos.com/stories/2017/11/6/1713204/-Minister-Spins-Texas-Tragedy-Into-Martyrdom-Message-God-Was-Answering-Their-Prayers,"It's really a good thing that all these people were killed, according to this minister.

“Prayers don’t work. We need legislation,”is the mantra of the “secular progressives” we are told by Lutheran minister Hans Fiene, who just published a column in a religious blog with the headline “When The Saints Of First Baptist Church Were Murdered, God Was Answering Their Prayers.” His response is proof of the tragic division in this country between people who are calling for sane gun legislation and people who are spinning these tragedies out as having different meanings, including Donald Trump who characterized the latest mass murder as “a mental health issue” “it isn’t a guns situation.” 26 people killed by one gun, how could it possibly be a gun situation? First, people react on twitter:

x On a day like this, remember you get bribed by the @NRA to do nothing about gun regulation — Leigh Ellis (@LeighEllis) November 5, 2017

x The murdered victims were in a church. If prayers did anything, they'd still be alive, you worthless sack of shit. https://t.co/iGHxPrYrLN — Wil Wheaton (@wilw) November 5, 2017

x Paul Ryan is the Speaker of the House. He can offer laws and regulations to end this, but he offers thoughts and prayers instead. — Wil Wheaton (@wilw) November 5, 2017

x Pass gun insurance *against misuse at point of sale, and for all registered owners. Yearly policy renewals will cull new criminals & mentally ill. Safety protocols *gun safes *locks, *safety certifications can lower premiums. Responsible gun owners will support! WRITE THE BILL! — InkResist (@InkResist) November 5, 2017

Now, the “God’s in his heaven and all’s right with the world,” drivel share for the day from the fine Rev. Fiene:

For those with little understanding of and less regard for the Christian faith, there may be no greater image of prayer’s futility than Christians being gunned down mid-supplication. But for those familiar with the Bible’s promises concerning prayer and violence, nothing could be further from the truth. When those saints of First Baptist Church were murdered yesterday, God wasn’t ignoring their prayers. He was answering them. “Deliver us from evil.” Millions of Christians throughout the world pray these words every Sunday morning. While it doesn’t appear that the Lord’s Prayer is formally a part of the worship services at First Baptist Church in Sutherland Springs, I have no doubt that members of that congregation have prayed these words countless times in their lives. [...] So when a madman with a rifle sought to persecute the faithful at First Baptist Church on Sunday morning, he failed. Just like those who put Christ to death, and just like those who have brought violence to believers in every generation, this man only succeeded in being the means through which God delivered his children from this evil world into an eternity of righteousness and peace.

Wow. Well, from Rev. Fiene’s point of view, then I guess that if and when we pray we should be praying for yet more of these massacres so that we can all be delivered from this evil world forthwith. Maybe the shooter and all shooters should be canonized as saints, ya think, since they are our means of deliverance? Apparently this tragedy is not a tragedy at all, it’s a feel good story.

So the enemies of the gospel can pour out their murderous rage upon Christians, but all they can truly accomplish is placing us into the arms of our savior. [...] But we believers see the shooting in Texas as proof of something far different—proof that Christ has counted us worthy to suffer dishonor for his name and proof that no amount of dishonor, persecution, or violence can stop him from answering our prayer to deliver us from evil.

Maybe Donald Trump will nuke the planet and then we’ll all be delivered from evil, the plants and the animals, too, with one big bang and some mushroom clouds, raining down toxic hell from the sky. Remember, the so called Conservative Christians are the folks who would bring you the Rapture and the Apocalypse.",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,"Minister Spins Texas Tragedy Into Martyrdom Message, 'God Was Answering Their Prayers'","Backgroundurl Avatar_Large, Nickname, Joined, Created_At, Story Count, N_Stories, Comment Count, N_Comments, Popular Tags, Showtags Popular_Tags",,[''],,,,
7821,3275339,trueeconomics.blogspot.com,unknown,http://trueeconomics.blogspot.com/2012/01/512012-2012-debt-redemptions-select.html,"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.” Gabriel Garcí­a Márquez





Nassim Nicholas Taleb was asked whether public protests in Athens is a Black Swan Event. He replied: “No. The real Black Swan Event is that people are not rioting against the banks in London and New York.”



",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,True Economics: 5/1/2012: 2012 Debt redemptions,"Constantin Gurdgiev, View My Complete Profile",,[''],,"euro area debt maturity, euro are bond redemptions 2012, Euro area bonds, Euro area debt crisis",,
7822,3275340,trueeconomics.blogspot.com,unknown,http://trueeconomics.blogspot.com/2012/01/712012-irish-exchequer-results-2011_08.html,"“It is not true that people stop pursuing dreams because they grow old, they grow old because they stop pursuing dreams.” Gabriel Garcí­a Márquez





Nassim Nicholas Taleb was asked whether public protests in Athens is a Black Swan Event. He replied: “No. The real Black Swan Event is that people are not rioting against the banks in London and New York.”



",2017-11-18T20:01:27.400599,2018-02-07 23:39:33.852671,2018-02-07 23:39:33.852696,True Economics: 7/1/2012: Irish Exchequer Results 2011,"Constantin Gurdgiev, View My Complete Profile",,[''],,"Irish tax arbitrage, Irish exchequer deficit, Irish tax burden, Irish fiscal crisis, Irish austerity, Irish tax, Irish Exchequer",,
